goal,level,gender,Equipment Required,Day 1 Body Parts,Day 2 Body Parts,Day 3 Body Parts,Day 4 Body Parts,Day 5 Body Parts,Day 6 Body Parts,Day 7 Body Parts
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other","waist, waist, upper legs, lower legs, cardio, lower arms, upper arms, upper legs, lower legs, upper legs, lower legs, cardio, shoulders, lower arms, upper arms, upper legs, lower legs, cardio, upper legs, lower legs, back, upper legs, lower legs, cardio, waist, cardio, chest, cardio, waist","waist, lower arms, upper arms, back, cardio, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, cardio, waist, shoulders, upper legs, lower legs, cardio, waist, back, chest, cardio, shoulders, lower arms, upper arms, shoulders, cardio, back, waist, cardio","waist, waist, upper legs, lower legs, cardio, lower arms, upper arms, upper legs, lower legs, upper legs, lower legs, cardio, shoulders, lower arms, upper arms, upper legs, lower legs, cardio, upper legs, lower legs, back, upper legs, lower legs, cardio, waist, cardio, chest, cardio, waist","waist, lower arms, upper arms, back, cardio, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, cardio, waist, shoulders, upper legs, lower legs, cardio, waist, back, chest, cardio, shoulders, lower arms, upper arms, shoulders, cardio, back, waist, cardio","waist, waist, upper legs, lower legs, cardio, lower arms, upper arms, upper legs, lower legs, upper legs, lower legs, cardio, shoulders, lower arms, upper arms, upper legs, lower legs, cardio, upper legs, lower legs, back, upper legs, lower legs, cardio, waist, cardio, chest, cardio, waist","waist, lower arms, upper arms, back, cardio, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, cardio, waist, shoulders, upper legs, lower legs, cardio, waist, back, chest, cardio, shoulders, lower arms, upper arms, shoulders, cardio, back, waist, cardio","waist, waist, upper legs, lower legs, cardio, lower arms, upper arms, upper legs, lower legs, upper legs, lower legs, cardio, shoulders, lower arms, upper arms, upper legs, lower legs, cardio, upper legs, lower legs, back, upper legs, lower legs, cardio, waist, cardio, chest, cardio, waist"
 Lose Weight,Beginner,Male & Female,"Bodyweight, Dumbbells","shoulders, chest, lower arms, upper arms, upper legs, lower legs","waist, waist, waist, -","shoulders, chest, lower arms, upper arms, upper legs, lower legs","shoulders, chest, lower arms, upper arms, upper legs, lower legs","waist, waist, waist, -","shoulders, chest, lower arms, upper arms, upper legs, lower legs","shoulders, chest, lower arms, upper arms, upper legs, lower legs"
 Lose Weight,Beginner,Male & Female,"Barbell, Cables, Dumbbells, Machines, Other","chest, back, shoulders, back, chest","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","chest, back, chest, back, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","chest, back, shoulders, back, chest","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","chest, back, chest, back, upper arms, upper arms, upper arms, upper arms"
 Lose Weight,Beginner,Male & Female,"Bodyweight, Kettle Bells","back, shoulders, chest, chest, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, waist, waist","back, shoulders, chest, chest, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, waist, waist","back, shoulders, chest, chest, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, waist, waist","back, shoulders, chest, chest, shoulders, upper arms, upper arms, upper arms, upper arms"
 Lose Weight,Beginner,Male & Female,"Barbell, Bodyweight, Dumbbells, Machines","upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, upper legs","chest, -, back, upper legs, back, -, upper arms, upper arms, upper legs, upper arms, upper arms, -, waist, upper legs","upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, upper legs","chest, -, back, upper legs, back, -, upper arms, upper arms, upper legs, upper arms, upper arms, -, waist, upper legs","upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, upper legs","chest, -, back, upper legs, back, -, upper arms, upper arms, upper legs, upper arms, upper arms, -, waist, upper legs","upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, upper legs"
 Lose Weight,Beginner,Male & Female,"Bodyweight, Dumbbells","shoulders, upper arms, upper arms, upper arms, upper arms, back, chest, waist, -, upper legs, upper legs, upper legs, lower arms, upper arms, lower arms, upper arms","shoulders, upper arms, upper arms, upper arms, upper arms, back, chest, waist, -, upper legs, upper legs, upper legs, lower arms, upper arms, lower arms, upper arms","shoulders, upper arms, upper arms, upper arms, upper arms, back, chest, waist, -, upper legs, upper legs, upper legs, lower arms, upper arms, lower arms, upper arms","shoulders, upper arms, upper arms, upper arms, upper arms, back, chest, waist, -, upper legs, upper legs, upper legs, lower arms, upper arms, lower arms, upper arms",,,
 Lose Weight,Beginner,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells, Machines","chest, back, -, -, back, -, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, -, waist","-, back, upper arms, upper arms, -, chest","upper legs, lower legs, back, chest","chest, back, -, -, back, -, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, -, waist","-, back, upper arms, upper arms, -, chest","upper legs, lower legs, back, chest","chest, back, -, -, back, -, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, -, waist"
 Lose Weight,Beginner,Male & Female,"Bands, Barbell, Bodyweight, Dumbbells","back, upper legs, lower legs, chest, back","chest, chest, chest, upper arms, upper arms","cardio, upper legs, lower legs, upper legs, lower legs","shoulders, shoulders, -, shoulders, -","-, -, -, -, -, -","back, upper legs, lower legs, chest, back","chest, chest, chest, upper arms, upper arms"
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells, Machines","shoulders, chest, back, back, upper legs, lower legs, upper legs, -, -, back, -, -","shoulders, chest, back, back, upper legs, lower legs, upper legs, -, -, back, -, -","shoulders, chest, back, back, upper legs, lower legs, upper legs, -, -, back, -, -",,,,
 Lose Weight,Beginner,Male & Female,"Bodyweight, Dumbbells, Kettle Bells","chest, chest, upper legs, upper legs, lower legs, waist, -, lower arms, upper arms","chest, chest, upper legs, upper legs, lower legs, waist, -, lower arms, upper arms","chest, chest, upper legs, upper legs, lower legs, waist, -, lower arms, upper arms","chest, chest, upper legs, upper legs, lower legs, waist, -, lower arms, upper arms","chest, chest, upper legs, upper legs, lower legs, waist, -, lower arms, upper arms","chest, chest, upper legs, upper legs, lower legs, waist, -, lower arms, upper arms",
 Get Fitter,Beginner,Male & Female,"Barbell, Bodyweight, Machines","-, chest, back, chest, shoulders, shoulders, back, waist, -","-, chest, chest, upper legs, lower legs, upper legs, lower legs, upper arms, upper arms, back, upper legs, upper legs, waist, -","-, chest, back, back, back, back, chest, waist, -","-, upper legs, lower legs, upper legs, lower legs, chest, chest, back, upper arms, upper arms, upper legs, upper legs, waist, -","-, chest, chest, -, shoulders, shoulders, waist, waist, -","-, upper legs, lower legs, upper legs, lower legs, back, back, -, lower arms, upper arms, waist, waist, -","-, chest, chest, -, waist, waist, waist, -"
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells, Other","-, upper legs, lower legs, upper legs, chest, chest, back, chest","-, -, -, -, chest, back, chest, -, -, waist, waist, waist","-, upper legs, lower legs, upper legs, chest, chest, back, chest","-, -, -, -, chest, back, chest, -, -, waist, waist, waist","-, upper legs, lower legs, upper legs, chest, chest, back, chest","-, -, -, -, chest, back, chest, -, -, waist, waist, waist","-, upper legs, lower legs, upper legs, chest, chest, back, chest"
 Lose Weight,Beginner,Male & Female,"Barbell, Cables, Dumbbells, Medicine Ball, Other","upper legs, lower legs, upper legs, -, -, -, -, upper legs, waist","chest, back, upper arms, upper arms, back, chest, back, -, -","upper legs, lower legs, upper legs, -, -, -, -, upper legs, waist","chest, back, upper arms, upper arms, back, chest, back, -, -","upper legs, lower legs, upper legs, -, -, -, -, upper legs, waist","chest, back, upper arms, upper arms, back, chest, back, -, -","upper legs, lower legs, upper legs, -, -, -, -, upper legs, waist"
 Lose Weight,Intermediate,Male,"Barbell, Bodyweight, Dumbbells","upper legs, lower legs, chest, upper legs, back, shoulders, waist","back, upper legs, chest, back, chest, waist","upper legs, chest, shoulders, upper legs, shoulders, waist, -","upper legs, lower legs, chest, upper legs, back, shoulders, waist","back, upper legs, chest, back, chest, waist","upper legs, chest, shoulders, upper legs, shoulders, waist, -","upper legs, lower legs, chest, upper legs, back, shoulders, waist"
 Lose Weight,Beginner,Male & Female,"Barbell, Bodyweight, Dumbbells, Kettle Bells, Medicine Ball","-, waist, -, -, -, back, upper arms, upper arms, upper legs, -, -","-, -, -, -, upper legs, -, upper legs, upper arms, upper arms, shoulders, waist","-, waist, upper legs, lower legs, upper legs, chest, upper legs, shoulders, upper legs, chest, -","-, waist, -, -, -, back, upper arms, upper arms, upper legs, -, -","-, -, -, -, upper legs, -, upper legs, upper arms, upper arms, shoulders, waist","-, waist, upper legs, lower legs, upper legs, chest, upper legs, shoulders, upper legs, chest, -","-, waist, -, -, -, back, upper arms, upper arms, upper legs, -, -"
 Lose Weight,Beginner,Male,"Barbell, Bodyweight, Cables, Dumbbells, Other",cardio,cardio,cardio,cardio,cardio,cardio,cardio
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells, Exercise Ball, Machines","chest, back, chest, back, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, waist, waist","lower arms, upper arms, lower arms, upper arms, upper legs, upper legs, lower legs, upper legs, -, upper legs, upper legs","chest, back, chest, back, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, waist, waist","lower arms, upper arms, lower arms, upper arms, upper legs, upper legs, lower legs, upper legs, -, upper legs, upper legs","chest, back, chest, back, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, waist, waist","lower arms, upper arms, lower arms, upper arms, upper legs, upper legs, lower legs, upper legs, -, upper legs, upper legs","chest, back, chest, back, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, waist, waist"
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines","back, back, back, back, back, back","chest, chest, chest, chest, chest, chest","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","shoulders, shoulders, shoulders, shoulders, shoulders, shoulders","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","back, back, back, back, back, back"
 Lose Weight,Intermediate,Male & Female,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Machines, Medicine Ball, Other","-, -, upper legs, -, -, waist, shoulders, upper arms, upper arms, -, -, upper legs, lower legs, -, upper legs, shoulders, -, shoulders, -","chest, upper arms, upper arms, upper arms, upper arms, -, chest, waist, chest, chest, upper arms, upper arms, -, -, upper legs, chest, -, -, -, -, chest","-, upper legs, back, -, -, upper legs, lower legs, back, upper legs, -, waist, upper legs, back, upper legs, lower legs, -, -, -","-, -, upper legs, -, -, waist, shoulders, upper arms, upper arms, -, -, upper legs, lower legs, -, upper legs, shoulders, -, shoulders, -","chest, upper arms, upper arms, upper arms, upper arms, -, chest, waist, chest, chest, upper arms, upper arms, -, -, upper legs, chest, -, -, -, -, chest","-, upper legs, back, -, -, upper legs, lower legs, back, upper legs, -, waist, upper legs, back, upper legs, lower legs, -, -, -","-, -, upper legs, -, -, waist, shoulders, upper arms, upper arms, -, -, upper legs, lower legs, -, upper legs, shoulders, -, shoulders, -"
 Lose Weight,Beginner,Male & Female,"Barbell, Bodyweight, Kettle Bells, Other","-, upper legs, chest, back, -, -","-, upper legs, upper legs, chest, -, waist, upper legs","-, -, upper legs, lower legs, upper legs, chest, upper legs, lower legs","-, upper legs, -, chest, upper legs, back","-, upper legs, -, -, upper legs, waist, -","-, upper legs, chest, back, -, -","-, upper legs, upper legs, chest, -, waist, upper legs"
 Get Fitter,Beginner,Male & Female,"Bands, Barbell, Bodyweight, Dumbbells, Kettle Bells, Other","upper legs, lower legs, back, shoulders, shoulders, chest, upper arms, upper arms","waist, waist, waist, waist, waist","upper legs, shoulders, back, shoulders, upper legs, upper arms, upper arms","waist, waist, waist, waist, waist","upper legs, -, upper legs, upper legs, lower legs, chest, upper arms, upper arms","waist, upper legs, chest, back, upper legs, shoulders","upper legs, lower legs, back, shoulders, shoulders, chest, upper arms, upper arms"
Gain Muscle,Beginner,Male & Female,"Barbell, Cables, Dumbbells, EZ Bar, Machines","upper legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms","chest, chest, chest, chest, waist, waist","back, back, upper legs, lower legs, back, lower arms, upper arms","shoulders, shoulders, shoulders, back, back","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, waist, waist","upper legs, lower legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","chest, chest, chest, chest, waist, waist"
 Lose Weight,Beginner,Male & Female,"Barbell, Bodyweight, Dumbbells","back, chest, back, shoulders","upper legs, lower legs, upper legs, upper legs, upper legs","back, chest, back, shoulders","upper legs, lower legs, upper legs, upper legs, upper legs, lower legs","back, chest, back, shoulders","upper legs, lower legs, upper legs, upper legs, upper legs","back, chest, back, shoulders"
Gain Muscle,Beginner,Male & Female,"Barbell, Cables, Dumbbells, EZ Bar, Machines","upper legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms","chest, chest, chest, chest, waist, waist","back, back, upper legs, lower legs, back, lower arms, upper arms","shoulders, shoulders, shoulders, back, back","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, waist, waist","upper legs, lower legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","chest, chest, chest, chest, waist, waist"
Gain Muscle,Advanced,Male,"Barbell, Bodyweight, Cables, Dumbbells, Machines","-, back, back, back, back, shoulders, chest, back, chest, shoulders","-, chest, -, chest, chest, chest, chest","-, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, -, upper arms, upper arms","-, upper legs, upper legs, -, upper legs, upper legs, upper legs, lower legs, -, upper legs, lower legs","-, upper legs, lower legs, -, shoulders, -, upper legs, shoulders, shoulders, back","-, back, back, back, back, shoulders, chest, back, chest, shoulders","-, chest, -, chest, chest, chest, chest"
Gain Muscle,Intermediate,Male,"Barbell, Bodyweight, Cables, Dumbbells","upper legs, lower legs, chest, back, shoulders","upper legs, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, chest, back, shoulders, lower arms, upper arms, waist","upper legs, lower legs, chest, back, shoulders","upper legs, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, chest, back, shoulders, lower arms, upper arms, waist","upper legs, lower legs, chest, back, shoulders"
Gain Muscle,Advanced,Male,"Barbell, Bodyweight, Cables, Dumbbells, Machines","chest, chest, chest, shoulders","upper legs, upper legs, upper legs, waist, waist","back, back, -, shoulders, back","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","chest, chest, chest, shoulders","upper legs, upper legs, upper legs, waist, waist"
Gain Muscle,Beginner,Male & Female,"Barbell, Cables, Dumbbells, Machines","chest, back, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist","shoulders, back, chest, back, chest, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, upper legs, upper legs, lower arms, upper arms, waist","chest, back, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist","shoulders, back, chest, back, chest, upper arms, upper arms, upper arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Bodyweight, Cables, Dumbbells, EZ Bar, Machines","upper legs, lower legs, back, back, upper arms, upper arms, upper arms, upper arms","shoulders, chest, chest, shoulders, chest, -, upper arms, upper arms, back","waist, waist, waist, waist, waist","upper legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","back, back, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, back","waist, waist, waist, waist, waist","upper legs, lower legs, back, back, upper arms, upper arms, upper arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","-, upper legs, -, upper legs, upper legs, -, upper legs, upper legs, -, upper legs, lower legs, upper legs, lower legs, -, lower arms, upper arms, lower arms, upper arms","-, chest, -, chest, chest, -, chest, chest, -, lower arms, upper arms, lower arms, upper arms, -, waist, waist","-, -, -, back, back, -, back, back, -, back, back, -, back, back","-, shoulders, -, shoulders, shoulders, -, shoulders, shoulders, -, shoulders, back, -, waist, waist","-, upper arms, upper arms, upper arms, upper arms, -, upper arms, upper arms, upper arms, upper arms, -, upper arms, upper arms, upper arms, upper arms, -, upper arms, upper arms, upper arms, upper arms","-, upper legs, -, upper legs, upper legs, -, upper legs, upper legs, -, upper legs, lower legs, upper legs, lower legs, -, lower arms, upper arms, lower arms, upper arms","-, chest, -, chest, chest, -, chest, chest, -, lower arms, upper arms, lower arms, upper arms, -, waist, waist"
Gain Muscle,Beginner,Male & Female,"Cables, Dumbbells, Machines","upper legs, -, chest, chest, shoulders, upper arms, upper arms","upper legs, lower legs, upper legs, lower legs, back, back, back, upper arms, upper arms","upper legs, -, chest, chest, shoulders, upper arms, upper arms","upper legs, lower legs, upper legs, lower legs, back, back, back, upper arms, upper arms","upper legs, -, chest, chest, shoulders, upper arms, upper arms","upper legs, lower legs, upper legs, lower legs, back, back, back, upper arms, upper arms","upper legs, -, chest, chest, shoulders, upper arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines","shoulders, upper arms, upper arms, upper arms, upper arms, shoulders, -, shoulders, back, -","-, -, upper legs, -, upper legs, lower legs, waist","back, back, shoulders, back, back, upper legs, lower legs, waist, waist","chest, chest, upper arms, upper arms, chest, chest, upper arms, upper arms, chest, chest","-, -, -, -, -, -","upper legs, upper legs, lower arms, upper arms, upper legs, upper legs, -, upper legs, lower legs, upper legs, upper legs, upper legs","shoulders, upper arms, upper arms, upper arms, upper arms, shoulders, -, shoulders, back, -"
Gain Muscle,Intermediate,Male,"Barbell, Bodyweight, Cables, Dumbbells, Machines","upper legs, upper legs, upper legs, lower legs, chest, chest, shoulders, shoulders, back, back, back, back","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, lower arms, upper arms, lower arms, upper arms, lower arms, upper arms, waist, waist","upper legs, upper legs, upper legs, lower legs, chest, chest, shoulders, chest, chest, back, back","upper legs, upper legs, upper legs, lower legs, chest, chest, shoulders, shoulders, back, back, back, back","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, lower arms, upper arms, lower arms, upper arms, lower arms, upper arms, waist, waist","upper legs, upper legs, upper legs, lower legs, chest, chest, shoulders, chest, chest, back, back","upper legs, upper legs, upper legs, lower legs, chest, chest, shoulders, shoulders, back, back, back, back"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","-, chest, chest, chest, -, chest, chest, chest, chest","-, back, back, back, -, back, back, back, back","-, shoulders, shoulders, shoulders, -, shoulders, shoulders, back, shoulders","-, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, -, upper legs, upper legs, lower legs, lower arms, upper arms, upper legs","-, upper arms, upper arms, back, upper arms, upper arms, upper arms, upper arms, -, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","-, chest, chest, chest, -, chest, chest, chest, chest","-, back, back, back, -, back, back, back, back"
Gain Muscle,Advanced,Male,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","back, -, back, shoulders, shoulders, shoulders","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, lower arms, upper arms","shoulders, shoulders, shoulders, back, back, back, back","chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, -, upper legs, upper legs, lower arms, upper arms","back, -, back, shoulders, shoulders, shoulders"
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight","-, -, upper legs, upper legs, lower legs, lower arms, upper arms, waist","-, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","-, upper legs, lower legs, upper legs, upper legs, upper arms, upper arms, waist","-, shoulders, back, chest, upper arms, upper arms, lower arms, upper arms","-, -, upper legs, upper legs, lower legs, lower arms, upper arms, waist","-, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","-, upper legs, lower legs, upper legs, upper legs, upper arms, upper arms, waist"
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines","chest, upper legs, shoulders, shoulders, -, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","back, back, back, shoulders, upper arms, upper arms, upper arms, upper arms, waist, waist","chest, upper legs, shoulders, shoulders, -, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","back, back, back, shoulders, upper arms, upper arms, upper arms, upper arms, waist, waist","chest, upper legs, shoulders, shoulders, -, upper arms, upper arms"
Gain Muscle,Beginner,Male,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells, Medicine Ball, Other","back, back, chest, back, shoulders, -, -, shoulders, shoulders","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, -, -, waist, waist, waist","back, chest, shoulders, back, chest, shoulders, back, upper legs, lower legs, lower arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, -, upper legs, waist, waist, waist","back, back, chest, back, shoulders, -, -, shoulders, shoulders","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, -, -, waist, waist, waist","back, chest, shoulders, back, chest, shoulders, back, upper legs, lower legs, lower arms, upper arms"
Gain Muscle,Intermediate,Male,"Barbell, Cables, Dumbbells, EZ Bar, Machines","-, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms, shoulders","-, upper legs, upper legs, lower legs, upper legs, upper legs, upper legs","-, chest, upper arms, upper arms, upper arms, upper arms, -, -, upper arms, upper arms, upper arms, upper arms, -, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","-, upper legs, lower legs, upper legs, upper legs, lower legs, back, back, back, back","-, chest, shoulders, back, shoulders, upper arms, upper arms, upper arms, upper arms, -","-, upper legs, upper legs","-, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms, shoulders"
Gain Muscle,Advanced,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","-, upper legs, upper legs, upper legs, -, back, upper arms, upper arms, upper arms, upper arms","-, chest, chest, chest, chest, -, lower arms, upper arms, lower arms, upper arms","-, upper legs, lower legs, upper legs, lower legs, -, back, back, back, -","-, shoulders, shoulders, -, back, -, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","-, upper legs, upper legs, upper legs, -, back, upper arms, upper arms, upper arms, upper arms","-, chest, chest, chest, chest, -, lower arms, upper arms, lower arms, upper arms","-, upper legs, lower legs, upper legs, lower legs, -, back, back, back, -"
Gain Muscle,Intermediate,Male & Female,"Barbell, Cables, Dumbbells, EZ Bar, Machines","shoulders, shoulders, shoulders, shoulders, shoulders, back","upper legs, upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","chest, chest, chest, chest, chest","back, back, back, back, back","shoulders, shoulders, shoulders, shoulders, shoulders, back","upper legs, upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines","upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, back, upper legs, lower legs","chest, chest, chest, chest, chest, upper legs, lower legs, upper legs, lower legs","shoulders, shoulders, shoulders, shoulders, shoulders, lower arms, upper arms, lower arms, upper arms, lower arms, upper arms","back, back, back, back, back, lower arms, upper arms, lower arms, upper arms, lower arms, upper arms","upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, back, upper legs, lower legs","chest, chest, chest, chest, chest, upper legs, lower legs, upper legs, lower legs","ulders, shoulders, shoulders, shoulders, shoulders, lower arms, upper arms, lower arms, upper arms, lower arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other","shoulders, shoulders, chest, chest, upper arms, upper arms","back, back, back, shoulders, lower arms, upper arms, upper arms, upper arms","upper legs, lower legs, upper legs, upper legs, upper legs, lower arms, upper arms","shoulders, shoulders, chest, chest, upper arms, upper arms","back, back, back, shoulders, lower arms, upper arms, upper arms, upper arms","upper legs, lower legs, upper legs, upper legs, upper legs, lower arms, upper arms","shoulders, shoulders, chest, chest, upper arms, upper arms"
Increase Endurance,Intermediate,Male & Female,"Barbell, Bodyweight","-, back, upper legs, shoulders, upper legs, shoulders, -, waist, -, chest, waist","-, upper legs, upper legs, upper legs, upper legs, upper legs","-, chest, chest, chest, chest, chest","-, upper legs, lower legs, back, back, -, back","-, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","-, shoulders, shoulders, shoulders, back, -","-, upper arms, upper arms, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells","-, upper legs, lower legs, upper legs, back, chest","-, chest, chest, shoulders, shoulders, upper arms, upper arms","-, back, back, back, back, upper arms, upper arms","-, -, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms","-, chest, back, shoulders, back","-, upper legs, lower legs, upper legs, back, chest","-, chest, chest, shoulders, shoulders, upper arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Cables, Dumbbells, Machines","chest, chest, lower arms, upper arms","upper legs, lower legs, upper legs, lower legs, upper legs, lower legs","shoulders, shoulders, shoulders, upper legs, lower legs, upper legs, lower legs","back, back, back, back, upper arms, upper arms","chest, chest, lower arms, upper arms","upper legs, lower legs, upper legs, lower legs, upper legs, lower legs","shoulders, shoulders, shoulders, upper legs, lower legs, upper legs, lower legs"
Gain Muscle,Intermediate,Male & Female,"Barbell, Cables, Dumbbells, Machines","chest, chest, chest, shoulders, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms","back, back, back, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","chest, chest, chest, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","upper legs, lower legs, back, back, upper arms, upper arms, lower arms, upper arms","chest, chest, chest, shoulders, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms"
